,Artist,Album,Track,Date#AdriannaCr,Date#Alchedoc,Date#AngelTrejo_,Date#AtomicAxe,Date#Benjigoo,Date#BlastFMCountry,Date#BoHa1,Date#BobWiggles,Date#Corasan1,Date#Cosmunn,Date#DKjapanesefreak,Date#Density_Live,Date#Fishyyyyy,Date#Fp_motta,Date#Hasayo,Date#HongerigeKameel,Date#Joakssss,Date#Kimnikole,Date#Lackie_Chan,Date#Lavark1,Date#Mezque,Date#MurpWrld,Date#Nachoneitor,Date#Sadissst,Date#SaltyKoci,Date#Sorryaint,Date#Sr_Jones,Date#StateOfSwift,Date#SubatomicScale,Date#Tech_Jet,Date#WH1TEHOTFOREVER,Date#aada1m,Date#aliliths,Date#axtt,Date#babyrager,Date#bigmoneymusic,Date#boruelis,Date#boyinzanark,Date#cammiepscott,Date#cartiSLAY1R,Date#cclyr,Date#chicaaaaa_,Date#dombuq,Date#dupahisoki1,Date#egk1,Date#equinoxfeatures,Date#ethanlistensong,Date#fairyem,Date#flayn,Date#flumszy,Date#fr0ggytime,Date#gabzrel,Date#giovanni-,Date#gr1cs,Date#gtlaserbeast,Date#harshvpant,Date#helenabrito1,Date#hongdang1,Date#hydroxide_kid,Date#iamjanessa,Date#ithinkithinki,Date#jackjoxo,Date#joaodellepiane,Date#joswdl,Date#lanelannan,Date#ldrxcx,Date#lemonade_lover,Date#lil_weirdo,Date#lorcan_,Date#luceciiito,Date#magn1,Date#mathboy1,Date#mattchew_,Date#mattvp1,Date#michas_szef,Date#milky_heaven,Date#mitchdelaney,Date#mqtchh,Date#obototo,Date#okayuzi,Date#okayykriss,Date#parisxtun,Date#ramsesCEO,Date#realtrixer,Date#ronvoter,Date#rxcvia,Date#seemliness,Date#sheetmetalangel,Date#silent_partner_,Date#snivy_01,Date#spawnagainfreak,Date#teukfanboy,Date#tiAgoaa,Date#turbatio,Date#usur_disc1,Date#willdomke,Date#worldstarclass,Date#xscronyx,Date#yonnerz_,"TV Girl,French Exit,Hate Yourself,1 Feb 1 1:1",Unnamed: 0,Total
947,$uicideboy$,STOP STARING AT THE SHADOWS,"...And To Those I Love, Thanks For Sticking Around",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,21
948,$uicideboy$,STOP STARING AT THE SHADOWS,All Dogs Go To Heaven,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11
957,$uicideboy$,STOP STARING AT THE SHADOWS,That Just isn't Empirically Possible,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11
1306,*NSYNC,No Strings Attached,Bye Bye Bye,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,16
1312,*NSYNC,No Strings Attached,It's Gonna Be Me,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11
1830,01 Shake,Modus Vivendi,Guilty Conscience,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,19
2079,1 gecs,1 gecs,bloodstains,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,16
2080,1 gecs,1 gecs,dog food,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,12
2081,1 gecs,1 gecs,fuck teeth,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,11
2082,1 gecs,1 gecs,gum,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,13
